Datum:;25/02/2019;
koordinieren:;53.5783279, 9.9407981;
Ort:;;
Stunde;Elevation;Azimuth
07:18:09;-0.833;104.42
7:30:00;0.86;106.8
7:40:00;2.28;108.82
7:50:00;3.67;110.86
8:00:00;5.05;112.91
8:10:00;6.41;114.98
8:20:00;7.75;117.07
8:30:00;9.06;119.19
8:40:00;10.35;121.33
8:50:00;11.6;123.49
9:00:00;12.82;125.68
9:10:00;14.02;127.91
9:20:00;15.17;130.16
9:30:00;16.29;132.45
9:40:00;17.37;134.77
9:50:00;18.4;137.12
10:00:00;19.39;139.51
10:10:00;20.33;141.94
10:20:00;21.22;144.4
10:30:00;22.06;146.9
10:40:00;22.85;149.43
10:50:00;23.58;152
11:00:00;24.25;154.6
11:10:00;24.86;157.23
11:20:00;25.4;159.89
11:30:00;25.88;162.57
11:40:00;26.29;165.28
11:50:00;26.64;168.01
12:00:00;26.92;170.76
12:10:00;27.12;173.52
12:20:00;27.26;176.3
12:30:00;27.32;179.07
12:40:00;27.31;181.85
12:50:00;27.23;184.63
13:00:00;27.08;187.4
13:10:00;26.85;190.15
13:20:00;26.56;192.9
13:30:00;26.19;195.62
13:40:00;25.76;198.33
13:50:00;25.27;201.01
14:00:00;24.7;203.66
14:10:00;24.08;206.28
14:20:00;23.4;208.88
14:30:00;22.65;211.43
14:40:00;21.85;213.96
14:50:00;21;216.45
15:00:00;20.09;218.9
15:10:00;19.14;221.32
15:20:00;18.14;223.7
15:30:00;17.09;226.05
15:40:00;16.01;228.36
15:50:00;14.88;230.64
16:00:00;13.72;232.89
16:10:00;12.52;235.1
16:20:00;11.29;237.29
16:30:00;10.03;239.45
16:40:00;8.74;241.59
16:50:00;7.42;243.7
17:00:00;6.08;245.78
17:10:00;4.72;247.85
17:20:00;3.33;249.9
17:30:00;1.93;251.94
17:40:00;0.52;253.96
17:49:26;-0.833;255.86
