Datum:,19/04/2019,
koordinieren:,"53.6332649, 9.9881322",
Ort:,"53.63326490,9.98813220",
Stunde,Elevation,Azimuth
06:11:46,-0.833,69.92
6:20:00,0.32,71.57
6:30:00,1.73,73.58
6:40:00,3.17,75.57
6:50:00,4.61,77.56
7:00:00,6.06,79.55
7:10:00,7.53,81.53
7:20:00,9,83.51
7:30:00,10.48,85.5
7:40:00,11.96,87.5
7:50:00,13.44,89.5
8:00:00,14.93,91.51
8:10:00,16.41,93.54
8:20:00,17.89,95.59
8:30:00,19.37,97.66
8:40:00,20.83,99.76
8:50:00,22.29,101.88
9:00:00,23.74,104.03
9:10:00,25.17,106.22
9:20:00,26.59,108.45
9:30:00,27.99,110.71
9:40:00,29.36,113.03
9:50:00,30.72,115.39
10:00:00,32.05,117.81
10:10:00,33.34,120.28
10:20:00,34.61,122.82
10:30:00,35.84,125.42
10:40:00,37.03,128.08
10:50:00,38.18,130.82
11:00:00,39.28,133.63
11:10:00,40.33,136.52
11:20:00,41.32,139.48
11:30:00,42.26,142.53
11:40:00,43.13,145.65
11:50:00,43.93,148.84
12:00:00,44.66,152.11
12:10:00,45.32,155.46
12:20:00,45.9,158.87
12:30:00,46.39,162.33
12:40:00,46.8,165.85
12:50:00,47.12,169.42
13:00:00,47.35,173.02
13:10:00,47.49,176.64
13:20:00,47.53,180.27
13:30:00,47.48,183.9
13:40:00,47.33,187.52
13:50:00,47.1,191.11
14:00:00,46.77,194.67
14:10:00,46.35,198.19
14:20:00,45.85,201.65
14:30:00,45.26,205.05
14:40:00,44.6,208.39
14:50:00,43.86,211.65
15:00:00,43.05,214.84
15:10:00,42.17,217.95
15:20:00,41.23,220.99
15:30:00,40.23,223.95
15:40:00,39.18,226.82
15:50:00,38.07,229.63
16:00:00,36.92,232.36
16:10:00,35.73,235.02
16:20:00,34.5,237.61
16:30:00,33.23,240.14
16:40:00,31.93,242.61
16:50:00,30.61,245.02
17:00:00,29.25,247.38
17:10:00,27.87,249.69
17:20:00,26.47,251.96
17:30:00,25.06,254.18
17:40:00,23.63,256.37
17:50:00,22.18,258.52
18:00:00,20.73,260.64
18:10:00,19.26,262.73
18:20:00,17.79,264.8
18:30:00,16.31,266.85
18:40:00,14.83,268.88
18:50:00,13.35,270.9
19:00:00,11.87,272.9
19:10:00,10.39,274.89
19:20:00,8.92,276.88
19:30:00,7.46,278.87
19:40:00,6,280.85
19:50:00,4.55,282.84
20:00:00,3.11,284.83
20:10:00,1.69,286.83
20:20:00,0.28,288.84
20:27:58,-0.833,290.44
